college_id,college_name,branch,2024,2023,2022,2021,2020
E001,University of Visvesvaraya College of Engineering Bangalore,AI Artificial Intelligence,8515,9240,8120,9539,12573
E001,University of Visvesvaraya College of Engineering Bangalore,CE Civil,86550,80402,76027,87574,83735
E001,University of Visvesvaraya College of Engineering Bangalore,ME Mechanical,69452,86388,76860,70476,89721
E001,University of Visvesvaraya College of Engineering Bangalore,CS Computers,7208,4589,3894,8232,7922
E001,University of Visvesvaraya College of Engineering Bangalore,EC Electronics,13625,14932,11675,14649,18265
E001,University of Visvesvaraya College of Engineering Bangalore,EE Electrical,38319,38348,22746,39343,41681
E002,S K S J T Institute of Engineering Bangalore,AI Artificial Intelligence,29787,22444,20545,30811,25777
E002,S K S J T Institute of Engineering Bangalore,CE Civil,101369,98497,96918,102393,101830
E002,S K S J T Institute of Engineering Bangalore,ME Mechanical,96326,104754,115454,97350,108087
E002,S K S J T Institute of Engineering Bangalore,CS Computers,23474,16582,15744,24498,19915
E002,S K S J T Institute of Engineering Bangalore,EC Electronics,52842,37556,35768,53866,40889
E002,S K S J T Institute of Engineering Bangalore,EE Electrical,65454,55445,43554,66478,58778
E003,B M S College of Engineering Bangalore,AI Artificial Intelligence,5487,6548,7856,6511,9881
E003,B M S College of Engineering Bangalore,CE Civil,73226,76021,52947,74250,79354
E003,B M S College of Engineering Bangalore,ME Mechanical,46818,39647,48784,47842,42980
E003,B M S College of Engineering Bangalore,CS Computers,3548,5545,6584,4572,8878
E003,B M S College of Engineering Bangalore,EC Electronics,6731,8284,9603,7755,11617
E003,B M S College of Engineering Bangalore,EE Electrical,22650,11113,23946,23674,14446
E004,Dr. Ambedkar Institute Of Technology Bangalore,AI Artificial Intelligence,14878,12454,16454,15902,15787
E004,Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,135975,119839,94195,136999,123172
E004,Dr. Ambedkar Institute Of Technology Bangalore,ME Mechanical,119234,121851,113326,120258,125184
E004,Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,11117,9492,13847,12141,12825
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,35616,25478,22908,36640,28811
E004,Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,47260,44598,55347,48284,47931
E005,R. V. College of Engineering Bangalore,AI Artificial Intelligence,9045,1169,2928,10069,4502
E005,R. V. College of Engineering Bangalore,CE Civil,12999,20700,36918,14023,24033
E005,R. V. College of Engineering Bangalore,ME Mechanical,13964,18688,193690,14988,22021
E005,R. V. College of Engineering Bangalore,CS Computers,1068,1100,530,2092,4433
E005,R. V. College of Engineering Bangalore,EC Electronics,3506,5547,5529,4530,8880
E005,R. V. College of Engineering Bangalore,EE Electrical,5604,5338,7072,6628,8671
E006,M S Ramaiah Institute of Technology Bangalore,AI Artificial Intelligence,3512,3675,3952,4536,7008
E006,M S Ramaiah Institute of Technology Bangalore,CE Civil,38160,63075,50728,39184,66408
E006,M S Ramaiah Institute of Technology Bangalore,ME Mechanical,30769,27023,38072,31793,30356
E006,M S Ramaiah Institute of Technology Bangalore,CS Computers,2300,2655,1135,3324,5988
