college_id,college_name,branch,2024,2023,2022,2021,2020
E001,University of Visvesvaraya College of Engineering Bangalore,AI Artificial Intelligence,25310,24725,12871,14274,16197
E001,University of Visvesvaraya College of Engineering Bangalore,CE Civil,80755,13175,62300,31615,32798
E001,University of Visvesvaraya College of Engineering Bangalore,CS Computers,23389,16010,7982,6739,11653
E001,University of Visvesvaraya College of Engineering Bangalore,EC Electronics,35337,30735,17591,13631,10690
E001,University of Visvesvaraya College of Engineering Bangalore,EE Electrical,56763,73532,32747,20039,19800
E001,University of Visvesvaraya College of Engineering Bangalore,ME Mechanical,126583,145722,84234,45629,40266
E002,S K S J T Institute of Engineering Bangalore,CE Civil,129071,141195,90664,48785,45744
E002,S K S J T Institute of Engineering Bangalore,EE Electrical,36167,34180,33139,33911,36791
E002,S K S J T Institute of Engineering Bangalore,ME Mechanical,98977,105098,96218,100283,97901
E002,S K S J T Institute of Engineering Bangalore,AI Artificial Intelligence,26129,21000,17450,18161,19278
E002,S K S J T Institute of Engineering Bangalore,CS Computers,30867,33286,15895,13427,23366
E002,S K S J T Institute of Engineering Bangalore,EC Electronics,64215,77954,28623,26967,28012
E003,B M S College of Engineering Bangalore,CE Civil,68639,79933,49239,23070,22049
E003,B M S College of Engineering Bangalore,EC Electronics,26760,31137,17883,7593,6379
E003,B M S College of Engineering Bangalore,EE Electrical,52628,51906,25011,19407,21695
E003,B M S College of Engineering Bangalore,AI Artificial Intelligence,19489,20988,17164,19188,17879
E003,B M S College of Engineering Bangalore,CS Computers,13983,15324,16037,14890,13879
E003,B M S College of Engineering Bangalore,ME Mechanical,95224,131768,78658,34737,16704
E004,Dr. Ambedkar Institute Of Technology Bangalore,CE Civil,120020,201930,108694,54997,55233
E004,Dr. Ambedkar Institute Of Technology Bangalore,CS Computers,31237,26241,12013,12023,15685
E004,Dr. Ambedkar Institute Of Technology Bangalore,EC Electronics,63423,64771,25393,21811,26753
E004,Dr. Ambedkar Institute Of Technology Bangalore,EE Electrical,75497,94620,44767,25599,30562
E004,Dr. Ambedkar Institute Of Technology Bangalore,AI Artificial Intelligence,17067,12880,14121,17520,13790
E004,Dr. Ambedkar Institute Of Technology Bangalore,ME Mechanical,168882,203100,130900,73126,95126
E005,R. V. College of Engineering Bangalore,*AI Artificial Intelligence,9549,12363,1600,2758,8978
E005,R. V. College of Engineering Bangalore,CE Civil,62493,33225,26180,16863,17058
E005,R. V. College of Engineering Bangalore,CS Computers,6024,7667,1544,2702,3272
E005,R. V. College of Engineering Bangalore,EC Electronics,21436,18337,5125,5132,3864
E005,R. V. College of Engineering Bangalore,EE Electrical,23566,25697,10960,19172,13789
E005,R. V. College of Engineering Bangalore,ME Mechanical,62870,56769,57842,12401,12344
E006,M S Ramaiah Institute of Technology Bangalore,AI Artificial Intelligence,14056,15098,8167,6990,15787
E006,M S Ramaiah Institute of Technology Bangalore,CE Civil,65453,49822,50519,27571,26712
E006,M S Ramaiah Institute of Technology Bangalore,CS Computers,14169,14000,1596,2825,11654
E006,M S Ramaiah Institute of Technology Bangalore,EC Electronics,24858,22770,9895,10335,13250
E006,M S Ramaiah Institute of Technology Bangalore,EE Electrical,33740,52121,15907,20500,20789
E006,M S Ramaiah Institute of Technology Bangalore,ME Mechanical,94163,129051,65692,31686,30321
E007,Dayananda Sagar College of Engineering Bangalore,AI Artificial Intelligence,33893,35753,14972,15412,19322
E007,Dayananda Sagar College of Engineering Bangalore,EC Electronics,20870,52012,17286,16965,23258
E007,Dayananda Sagar College of Engineering Bangalore,EE Electrical,56846,74119,31634,28047,29990
E007,Dayananda Sagar College of Engineering Bangalore,CE Civil,111818,196272,80927,53275,51719
E007,Dayananda Sagar College of Engineering Bangalore,ME Mechanical,40321,157583,96129,48071,63388
E007,Dayananda Sagar College of Engineering Bangalore,CS Computers,30240,17569,9748,10860,15650
